Array size 	 Copy 	 Scale 	 Add 	 Triad
4096 	 68719.5 	 68719.5 	 103079.2 	 103079.2 
8192 	 68719.5 	 68719.5 	 68719.5 	 68719.5 
16384 	 43980.5 	 37914.2 	 35853.6 	 40226.0 
32768 	 30972.2 	 30972.2 	 32985.3 	 34359.7 
65536 	 29918.7 	 29126.1 	 32180.8 	 32180.8 
131072 	 26574.3 	 25947.2 	 28871.2 	 28620.7 
262144 	 30436.3 	 30436.3 	 33831.1 	 33831.1 
524288 	 29541.9 	 29443.0 	 33026.6 	 32944.2 
1048576 	 16810.5 	 16895.3 	 16722.6 	 16459.2 
2097152 	 13690.4 	 12985.6 	 14626.6 	 14580.2 
4194304 	 13099.8 	 12478.4 	 14023.7 	 13957.9 
8388608 	 13217.0 	 12759.5 	 14343.6 	 14381.5 
16777216 	 13258.0 	 12641.2 	 14324.2 	 14259.8 
