DataSize 	 nMPI 	 TrivialExeTime 	 TreeExeTime 	 BufferExeTime 	 MPIExeTime 
64 	 1 	 6.354e-08 	 4.06e-08 	 0.000354431 	 3.56194e-06
64 	 2 	 3.89946e-06 	 3.75124e-06 	 1.98844e-06 	 2.18854e-05
64 	 4 	 7.0712e-06 	 2.8214e-06 	 2.29812e-06 	 2.31107e-05
64 	 8 	 8.64118e-06 	 5.94084e-06 	 3.63062e-06 	 3.3226e-05
64 	 14 	 1.90911e-05 	 7.59526e-06 	 2.41402e-06 	 4.55252e-05
64 	 28 	 3.53805e-05 	 1.70529e-05 	 3.00802e-06 	 5.78929e-05
128 	 1 	 6.294e-08 	 3.68e-08 	 0.000349627 	 1.61722e-06
128 	 2 	 3.83574e-06 	 3.61696e-06 	 1.78264e-06 	 1.35889e-05
128 	 4 	 6.64198e-06 	 4.18618e-06 	 3.42062e-06 	 1.9702e-05
128 	 8 	 1.15903e-05 	 6.47334e-06 	 2.8251e-06 	 4.25968e-05
128 	 14 	 2.17979e-05 	 1.11939e-05 	 2.81362e-06 	 4.71427e-05
128 	 28 	 3.92576e-05 	 1.74501e-05 	 4.14938e-06 	 5.01043e-05
256 	 1 	 6.252e-08 	 4.246e-08 	 0.000350438 	 1.63308e-06
256 	 2 	 4.17798e-06 	 2.85242e-06 	 2.16228e-06 	 2.31188e-05
256 	 4 	 7.1704e-06 	 4.70808e-06 	 3.71586e-06 	 2.30989e-05
256 	 8 	 1.24148e-05 	 7.30272e-06 	 2.48144e-06 	 3.7821e-05
256 	 14 	 2.22012e-05 	 9.1599e-06 	 2.15562e-06 	 5.67113e-05
256 	 28 	 4.31907e-05 	 1.49704e-05 	 3.04234e-06 	 4.44932e-05
512 	 1 	 6.46e-08 	 4.5e-08 	 0.000331733 	 1.44128e-06
512 	 2 	 6.65812e-06 	 2.98668e-06 	 5.40446e-06 	 1.89685e-05
512 	 4 	 9.01548e-06 	 5.26318e-06 	 4.72594e-06 	 3.13491e-05
512 	 8 	 1.71335e-05 	 1.01843e-05 	 4.97602e-06 	 5.05324e-05
512 	 14 	 2.67706e-05 	 1.11351e-05 	 3.89762e-06 	 5.36956e-05
512 	 28 	 6.67122e-05 	 1.54569e-05 	 3.7015e-06 	 5.12097e-05
1024 	 1 	 6.12e-08 	 4.2e-08 	 0.00035955 	 2.94482e-06
1024 	 2 	 8.1091e-06 	 5.16416e-06 	 6.87628e-06 	 3.35782e-05
1024 	 4 	 1.03191e-05 	 6.6991e-06 	 5.529e-06 	 3.04651e-05
1024 	 8 	 2.57578e-05 	 1.35474e-05 	 6.7823e-06 	 5.16041e-05
1024 	 14 	 3.9807e-05 	 1.44602e-05 	 4.61362e-06 	 4.97055e-05
1024 	 28 	 8.06486e-05 	 2.31976e-05 	 6.4038e-06 	 5.78405e-05
2048 	 1 	 3.31e-08 	 2.34e-08 	 0.00035337 	 1.8308e-06
2048 	 2 	 9.12628e-06 	 6.43334e-06 	 8.9355e-06 	 2.30847e-05
2048 	 4 	 1.89779e-05 	 1.27126e-05 	 9.55406e-06 	 6.5932e-05
2048 	 8 	 4.67928e-05 	 2.04132e-05 	 8.91956e-06 	 6.53468e-05
2048 	 14 	 6.7117e-05 	 1.99638e-05 	 7.23512e-06 	 5.6849e-05
2048 	 28 	 0.000120425 	 3.4531e-05 	 8.05808e-06 	 7.08333e-05
4096 	 1 	 6.314e-08 	 2.544e-08 	 0.000325494 	 1.6268e-06
4096 	 2 	 1.2332e-05 	 8.7847e-06 	 1.54324e-05 	 4.80138e-05
4096 	 4 	 3.37215e-05 	 2.16571e-05 	 1.7549e-05 	 8.68022e-05
4096 	 8 	 5.26655e-05 	 2.41734e-05 	 1.20009e-05 	 7.51937e-05
4096 	 14 	 8.70514e-05 	 2.98853e-05 	 1.04971e-05 	 6.92314e-05
4096 	 28 	 0.000211863 	 4.65309e-05 	 1.15123e-05 	 7.72933e-05
8192 	 1 	 3.656e-08 	 2.36e-08 	 0.000727128 	 1.95294e-06
8192 	 2 	 2.63268e-05 	 1.81066e-05 	 3.62472e-05 	 9.59022e-05
8192 	 4 	 6.4998e-05 	 3.94406e-05 	 2.93205e-05 	 0.000114138
8192 	 8 	 0.000137578 	 5.27096e-05 	 2.73899e-05 	 0.0001154
8192 	 14 	 0.000244881 	 6.25519e-05 	 2.45456e-05 	 9.01298e-05
8192 	 28 	 0.000387453 	 7.02329e-05 	 2.93682e-05 	 0.000108722
16384 	 1 	 3.76e-08 	 4.374e-08 	 0.001464 	 1.64032e-06
16384 	 2 	 5.05091e-05 	 2.92155e-05 	 0.000107251 	 0.000138102
16384 	 4 	 0.00011516 	 6.22891e-05 	 6.29626e-05 	 0.00016317
16384 	 8 	 0.000281353 	 9.30051e-05 	 4.85583e-05 	 0.000173162
16384 	 14 	 0.000361146 	 9.91795e-05 	 4.08433e-05 	 0.000157142
16384 	 28 	 0.000618392 	 0.000120625 	 4.3809e-05 	 0.000167014
32768 	 1 	 6.834e-08 	 4.232e-08 	 0.00256185 	 1.5234e-06
32768 	 2 	 9.2528e-05 	 4.48075e-05 	 0.000204657 	 0.000220625
32768 	 4 	 0.000209217 	 0.000111271 	 0.000149197 	 0.000267728
32768 	 8 	 0.000497782 	 0.00017453 	 0.00010186 	 0.000288911
32768 	 14 	 0.000677697 	 0.000197754 	 8.98954e-05 	 0.000304215
32768 	 28 	 0.00116032 	 0.000229828 	 0.000129507 	 0.000307453
65536 	 1 	 4.152e-08 	 2.198e-08 	 0.00497912 	 1.37608e-06
65536 	 2 	 0.000151407 	 8.98639e-05 	 0.000467709 	 0.000396556
65536 	 4 	 0.000429716 	 0.000208919 	 0.000337044 	 0.000447315
65536 	 8 	 0.000913165 	 0.000320297 	 0.000252131 	 0.000523296
65536 	 14 	 0.00123716 	 0.000379541 	 0.00020894 	 0.000472667
65536 	 28 	 0.0020542 	 0.000429651 	 0.000155534 	 0.000566308
