4 Nodes: 
|      Res |     Time | Residual |     GFlops |   Norm |
|----------|----------|----------|------------|--------|
|     1000 | 0.003543 | 0.165178 |     79.026 |  36.91 |
|     2000 | 0.005021 | 0.330234 |    223.069 |  52.19 |
|     3000 | 0.009890 | 0.495280 |    254.807 |  63.91 |
|     4000 | 0.016383 | 0.660324 |    273.455 |  73.80 |
|     5000 | 0.025728 | 0.825367 |    272.077 |  82.50 |
|     6000 | 0.038248 | 0.990409 |    263.543 |  90.38 |
|     7000 | 0.056988 | 1.155452 |    240.752 |  97.62 |
|     8000 | 0.083427 | 1.320494 |    214.798 | 104.36 |
|     9000 | 0.113319 | 1.485536 |    200.143 | 110.68 |
|    10000 | 0.206376 | 1.650577 |    135.675 | 116.67 |
 
3 Nodes:
|      Res |     Time | Residual |     GFlops |   Norm |
|----------|----------|----------|------------|--------|
|     1000 | 0.004895 | 0.165178 |     57.199 |  36.91 |
|     2000 | 0.006182 | 0.330234 |    181.165 |  52.19 |
|     3000 | 0.012652 | 0.495280 |    199.179 |  63.91 |
|     4000 | 0.021546 | 0.660324 |    207.928 |  73.80 |
|     5000 | 0.034477 | 0.825367 |    203.034 |  82.50 |
|     6000 | 0.054334 | 0.990409 |    185.519 |  90.38 |
|     7000 | 0.085553 | 1.155452 |    160.369 |  97.62 |
|     8000 | 0.115604 | 1.320494 |    155.012 | 104.36 |
|     9000 | 0.152152 | 1.485536 |    149.061 | 110.68 |
|    10000 | 0.152721 | 1.650577 |    183.341 | 116.67 |

2 Nodes:
|      Res |     Time | Residual |     GFlops |   Norm |
|----------|----------|----------|------------|--------|
|     1000 | 0.004091 | 0.165178 |     68.443 |  36.91 |
|     2000 | 0.009103 | 0.330234 |    123.036 |  52.19 |
|     3000 | 0.018205 | 0.495280 |    138.424 |  63.91 |
|     4000 | 0.032529 | 0.660324 |    137.723 |  73.80 |
|     5000 | 0.056939 | 0.825367 |    122.939 |  82.50 |
|     6000 | 0.094208 | 0.990409 |    106.997 |  90.38 |
|     7000 | 0.134411 | 1.155452 |    102.075 |  97.62 |
|     8000 | 0.145589 | 1.320494 |    123.086 | 104.36 |
|     9000 | 0.186782 | 1.485536 |    121.425 | 110.68 |
|    10000 | 0.232812 | 1.650577 |    120.269 | 116.67 |

1 Node:
|      Res |     Time | Residual |     GFlops |   Norm |
|----------|----------|----------|------------|--------|
|     1000 | 0.004881 | 0.165178 |     57.366 |  36.91 |
|     2000 | 0.013946 | 0.330234 |     80.309 |  52.19 |
|     3000 | 0.033136 | 0.495280 |     76.050 |  63.91 |
|     4000 | 0.072996 | 0.660324 |     61.373 |  73.80 |
|     5000 | 0.191567 | 0.825367 |     36.541 |  82.50 |
|     6000 | 0.179642 | 0.990409 |     56.112 |  90.38 |
|     7000 | 0.234933 | 1.155452 |     58.400 |  97.62 |
|     8000 | 0.302832 | 1.320494 |     59.175 | 104.36 |
|     9000 | 0.390407 | 1.485536 |     58.093 | 110.68 |
|    10000 | 0.469232 | 1.650577 |     59.672 | 116.67 |
